,Process Id,Process Name,Memory used by W3SVC
177,30272,SettingSyncHost.exe,12623872
178,22292,TabTip.exe,17764352
179,13972,LockApp.exe,48058368
180,32840,RuntimeBroker.exe,36143104
181,11888,dllhost.exe,15904768
182,26544,dllhost.exe,19226624
183,28212,HPSystemEventUtilityHost.exe,87805952
184,25092,svchost.exe,22953984
185,24820,TextInputHost.exe,51900416
186,31556,RuntimeBroker.exe,15126528
187,30656,RuntimeBroker.exe,27828224
188,3012,RuntimeBroker.exe,19869696
189,28336,HPCC.Bg.BackgroundApp.exe,52158464
190,23740,SecurityHealthSystray.exe,9920512
191,19336,RtkAudUService64.exe,14192640
192,26616,HpSystemManagement.exe,56664064
193,29504,OneDrive.exe,48230400
194,15828,slack.exe,109416448
195,20292,screenrec.exe,64405504
196,21620,slack.exe,64925696
197,23056,slack.exe,42795008
198,12252,slack.exe,35037184
199,25396,slack.exe,141643776
200,11812,slack.exe,97697792
201,30388,BlueJeans.Detector.exe,81088512
202,4688,BlueJeans.Detector.exe,44253184
203,32488,chrome.exe,441155584
204,31864,chrome.exe,8093696
205,16868,chrome.exe,883912704
206,7468,chrome.exe,122806272
207,25596,chrome.exe,19288064
208,17988,chrome.exe,60030976
209,26496,chrome.exe,38170624
210,14740,chrome.exe,34848768
211,30344,chrome.exe,78225408
212,19392,chrome.exe,41672704
213,24076,chrome.exe,37277696
214,33700,Skype.exe,73773056
215,12640,Cortana.exe,59961344
216,2820,Skype.exe,27500544
217,30384,jusched.exe,17084416
218,30900,Skype.exe,58101760
219,19148,Skype.exe,35954688
220,28268,RuntimeBroker.exe,23359488
221,13956,svchost.exe,23756800
222,21396,Skype.exe,110108672
223,15060,HP.JumpStarts.exe,2318336
224,24136,RuntimeBroker.exe,8814592
225,19728,HPAudioSwitch.exe,46489600
226,33788,McUICnt.exe,28078080
227,9672,ModuleCoreService.exe,24899584
228,14784,conhost.exe,11649024
229,13936,chrome.exe,21106688
230,30492,ShellExperienceHost.exe,52744192
231,30524,CompPkgSrv.exe,9228288
232,28828,jucheck.exe,16908288
233,30444,RuntimeBroker.exe,17608704
234,4432,chrome.exe,280981504
235,10060,UserOOBEBroker.exe,9371648
236,6424,msedge.exe,173105152
237,20320,msedge.exe,8351744
238,15660,msedge.exe,181706752
239,12408,msedge.exe,36110336
240,5988,msedge.exe,19472384
241,3512,SnippingTool.exe,21250048
242,33560,chrome.exe,48066560
243,20336,svchost.exe,40173568
244,28968,MoUsoCoreWorker.exe,34697216
245,14332,python.exe,16121856
246,12748,conhost.exe,21884928
247,7736,python.exe,88223744
248,14832,notepad++.exe,38121472
249,26812,msedge.exe,111095808
250,25936,python.exe,51306496
251,24988,chrome.exe,80211968
252,29816,WINWORD.EXE,191324160
253,17880,WINWORD.EXE,136327168
254,29344,spoolsv.exe,30646272
255,6792,SearchIndexer.exe,67760128
256,7864,msedge.exe,104599552
257,2348,acrotray.exe,10186752
258,14500,ApplicationFrameHost.exe,34115584
259,23224,WindowsCamera.exe,76103680
260,27536,RuntimeBroker.exe,16773120
261,33744,Microsoft.Photos.exe,70803456
262,19980,RuntimeBroker.exe,34201600
263,22828,svchost.exe,6852608
264,7952,EXCEL.EXE,172965888
265,28892,python.exe,51216384
266,30968,chrome.exe,164917248
267,31908,chrome.exe,49283072
268,30700,chrome.exe,89747456
269,28224,chrome.exe,52035584
270,16624,chrome.exe,76828672
271,26316,notepad.exe,17895424
272,15340,chrome.exe,92536832
273,31128,Teams.exe,249675776
274,17040,Teams.exe,159440896
275,17920,Teams.exe,84549632
276,23548,Teams.exe,89403392
277,25648,Teams.exe,76832768
278,13044,Teams.exe,333930496
279,15724,Teams.exe,118706176
280,26772,Teams.exe,183910400
281,24360,chrome.exe,81969152
282,22996,SearchApp.exe,173973504
283,31512,chrome.exe,56733696
284,17688,chrome.exe,49025024
285,10772,chrome.exe,52436992
286,21080,chrome.exe,56745984
287,33300,chrome.exe,57450496
288,33012,chrome.exe,54321152
289,21308,chrome.exe,55439360
290,15160,chrome.exe,53764096
291,1216,chrome.exe,58888192
292,30356,chrome.exe,50462720
293,20276,chrome.exe,48873472
294,30584,chrome.exe,64139264
295,9988,chrome.exe,51761152
296,28868,chrome.exe,54456320
297,18116,chrome.exe,49631232
298,6356,chrome.exe,48951296
299,30464,chrome.exe,49586176
300,20920,chrome.exe,54386688
301,23592,chrome.exe,45981696
302,17044,chrome.exe,153702400
303,6240,chrome.exe,56209408
304,10520,chrome.exe,84475904
305,26408,chrome.exe,80588800
306,28356,chrome.exe,77352960
307,14040,SearchProtocolHost.exe,17174528
308,7356,msedge.exe,116920320
309,26800,msedge.exe,64618496
310,4184,msedge.exe,64126976
311,22804,python.exe,51290112
312,11244,QcShm.exe,13484032
313,30252,chrome.exe,60383232
314,17476,TrustedInstaller.exe,7749632
315,14896,TiWorker.exe,30494720
316,25772,Teams.exe,78929920
317,9512,chrome.exe,35721216
318,32616,python.exe,232783872
319,26480,msedge.exe,26157056
320,31796,chrome.exe,24076288
321,5276,chrome.exe,37003264
322,24592,chrome.exe,57212928
323,1828,SearchFilterHost.exe,10162176
