,Process Id,Process Name,Memory used by W3SVC
177,30272,SettingSyncHost.exe,5779456
178,22292,TabTip.exe,8396800
179,13972,LockApp.exe,24887296
180,32840,RuntimeBroker.exe,22462464
181,11888,dllhost.exe,10076160
182,26544,dllhost.exe,6864896
183,28212,HPSystemEventUtilityHost.exe,56864768
184,25092,svchost.exe,11071488
185,24820,TextInputHost.exe,19251200
186,31556,RuntimeBroker.exe,7372800
187,30656,RuntimeBroker.exe,17670144
188,3012,RuntimeBroker.exe,7917568
189,28336,HPCC.Bg.BackgroundApp.exe,21757952
190,23740,SecurityHealthSystray.exe,3895296
191,19336,RtkAudUService64.exe,6598656
192,26616,HpSystemManagement.exe,15888384
193,29504,OneDrive.exe,23490560
194,15828,slack.exe,68136960
195,20292,screenrec.exe,33333248
196,21620,slack.exe,25210880
197,23056,slack.exe,19046400
198,12252,slack.exe,4476928
199,25396,slack.exe,110604288
200,11812,slack.exe,100143104
201,30388,BlueJeans.Detector.exe,36913152
202,4688,BlueJeans.Detector.exe,17174528
203,32488,chrome.exe,386523136
204,31864,chrome.exe,2973696
205,16868,chrome.exe,621985792
206,7468,chrome.exe,54677504
207,25596,chrome.exe,10616832
208,17988,chrome.exe,46211072
209,26496,chrome.exe,21286912
210,14740,chrome.exe,10403840
211,30344,chrome.exe,66637824
212,19392,chrome.exe,14458880
213,24076,chrome.exe,11608064
214,33700,Skype.exe,33300480
215,2820,Skype.exe,4440064
216,30384,jusched.exe,4837376
217,30900,Skype.exe,21524480
218,19148,Skype.exe,7806976
219,13956,svchost.exe,11452416
220,21396,Skype.exe,66424832
221,15060,HP.JumpStarts.exe,8835072
222,24136,RuntimeBroker.exe,5431296
223,19728,HPAudioSwitch.exe,20975616
224,33788,McUICnt.exe,9179136
225,9672,ModuleCoreService.exe,16592896
226,14784,conhost.exe,6127616
227,13936,chrome.exe,10878976
228,30492,ShellExperienceHost.exe,42725376
229,30524,CompPkgSrv.exe,5644288
230,28828,jucheck.exe,4476928
231,30444,RuntimeBroker.exe,3162112
232,4432,chrome.exe,337371136
233,10060,UserOOBEBroker.exe,4317184
234,6424,msedge.exe,140365824
235,20320,msedge.exe,2957312
236,15660,msedge.exe,173187072
237,12408,msedge.exe,26697728
238,5988,msedge.exe,8331264
239,3512,SnippingTool.exe,7254016
240,20336,svchost.exe,36790272
241,14332,python.exe,7725056
242,12748,conhost.exe,8675328
243,7736,python.exe,68849664
244,14832,notepad++.exe,30064640
245,29816,WINWORD.EXE,162197504
246,29344,spoolsv.exe,17408000
247,6792,SearchIndexer.exe,63062016
248,7864,msedge.exe,65019904
249,2348,acrotray.exe,2265088
250,14500,ApplicationFrameHost.exe,26619904
251,33744,Microsoft.Photos.exe,72904704
252,19980,RuntimeBroker.exe,24936448
253,26316,notepad.exe,3641344
254,31128,Teams.exe,190414848
255,17040,Teams.exe,147832832
256,17920,Teams.exe,24788992
257,23548,Teams.exe,25354240
258,25648,Teams.exe,10780672
259,13044,Teams.exe,360828928
260,15724,Teams.exe,100536320
261,26772,Teams.exe,176345088
262,22996,SearchApp.exe,108093440
263,7356,msedge.exe,72003584
264,30644,MoUsoCoreWorker.exe,51822592
265,32116,chrome.exe,116965376
266,6480,chrome.exe,232538112
267,17168,chrome.exe,35864576
268,31064,chrome.exe,103272448
269,6880,git-bash.exe,921600
270,32028,mintty.exe,13189120
271,27928,conhost.exe,6909952
272,21616,bash.exe,5902336
273,23124,QcShm.exe,3690496
274,30460,msedge.exe,73883648
275,25668,chrome.exe,67911680
276,29544,chrome.exe,224358400
277,4764,python.exe,16187392
278,31056,conhost.exe,21372928
279,21960,python.exe,88121344
280,10376,msedge.exe,73805824
281,24304,chrome.exe,70590464
282,29076,chrome.exe,67891200
283,23200,chrome.exe,72192000
284,29704,chrome.exe,85356544
285,22848,chrome.exe,217145344
286,30340,chrome.exe,73621504
287,13576,chrome.exe,91639808
288,27160,chrome.exe,176361472
289,5708,chrome.exe,50257920
290,13064,chrome.exe,226017280
291,18208,WUDFHost.exe,7651328
292,19580,svchost.exe,9871360
293,18560,backgroundTaskHost.exe,10272768
294,29988,RuntimeBroker.exe,15867904
295,8220,chrome.exe,79855616
296,26688,chrome.exe,86708224
297,29308,python.exe,59228160
298,22904,Video.UI.exe,16252928
299,16944,RuntimeBroker.exe,7852032
300,26364,chrome.exe,106364928
301,25364,chrome.exe,43528192
302,22656,HelpPane.exe,24403968
303,5460,msedge.exe,22036480
304,11456,msedge.exe,89550848
305,29064,Code.exe,165101568
306,24456,Code.exe,25870336
307,33352,Code.exe,296538112
308,24248,Code.exe,48971776
309,15684,Code.exe,95072256
310,29644,Code.exe,73916416
311,27288,chrome.exe,245821440
312,20536,svchost.exe,8495104
313,28268,Code.exe,252960768
314,31436,CodeHelper.exe,16912384
315,32928,conhost.exe,11247616
316,24956,Code.exe,170217472
317,32104,chrome.exe,62357504
318,16596,chrome.exe,91303936
319,29984,cmd.exe,4567040
320,21572,conhost.exe,20172800
321,32396,chrome.exe,258383872
322,12724,msedge.exe,79638528
323,7772,Code.exe,96718848
324,11480,chrome.exe,72577024
325,13308,chrome.exe,106192896
326,23228,Code.exe,79810560
327,28940,WindowsCamera.exe,100556800
328,29292,RuntimeBroker.exe,17231872
329,31456,svchost.exe,96153600
330,30836,msedge.exe,70914048
331,3456,python.exe,51621888
332,13268,msedge.exe,84451328
333,17036,python.exe,41242624
334,6468,conhost.exe,11460608
